Age,Education,Marital_Status,Income,Spending,Loyalty_Duration,Children,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,WebPurchaes,CatalogPurchases,StorePurchases,NumWebVisitsMonth,Income_group,Age_group,Loyalty_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment,Total_Spending_segment
25,Postgraduate,In relationship,38360.0,131,16.366666666666667,1,26,36,2,42,20,21,10,2,2,1,4,3,Low to medium income,Young,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
49,Postgraduate,In relationship,84618.0,1672,10.533333333333333,0,96,684,100,801,21,66,0,1,6,9,10,2,High income,Mature,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Biggest consumer
25,Postgraduate,Alone,10979.0,30,4.5,0,34,8,4,10,2,2,4,2,3,0,3,5,Low income,Young,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
51,Postgraduate,In relationship,38620.0,318,17.033333333333335,0,56,112,17,44,34,22,89,1,2,5,3,3,Low to medium income,Mature,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
44,Postgraduate,In relationship,40548.0,120,24.133333333333333,1,31,110,0,5,2,0,3,2,2,1,4,5,Low to medium income,Adult,Loyal customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer,Frequent consumer
62,Postgraduate,Alone,46610.0,302,23.5,2,8,96,12,96,33,22,43,6,4,1,6,6,Low to medium income,Mature,Loyal customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
68,Postgraduate,In relationship,68657.0,1196,19.7,0,4,482,34,471,119,68,22,1,3,5,9,7,High income,Senior,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
63,Postgraduate,Alone,49389.0,65,13.366666666666667,2,55,40,0,19,2,1,3,1,2,0,3,7,Low to medium income,Mature,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer
44,Postgraduate,In relationship,67353.0,913,9.233333333333333,1,37,702,17,151,0,8,35,5,5,6,12,2,Medium to high income,Adult,New customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer
38,Postgraduate,In relationship,23718.0,81,13.233333333333333,1,76,6,3,14,15,7,36,3,3,1,2,7,Low income,Adult,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
41,Postgraduate,Alone,42429.0,67,7.833333333333333,1,99,55,0,6,2,0,4,2,1,1,3,5,Low to medium income,Adult,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
71,Postgraduate,Alone,48948.0,902,20.333333333333332,0,53,437,8,206,160,49,42,2,7,10,5,6,Low to medium income,Senior,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
34,Postgraduate,In relationship,80011.0,1395,17.433333333333334,1,3,421,76,536,82,178,102,2,8,6,5,4,High income,Adult,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
29,Postgraduate,In relationship,20559.0,53,19.033333333333335,1,88,13,1,29,3,0,7,2,2,0,3,8,Low income,Young,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Low consumer
57,Postgraduate,In relationship,21994.0,22,21.633333333333333,1,4,9,0,6,3,1,3,1,0,0,3,5,Low income,Mature,Loyal customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
39,Postgraduate,In relationship,7500.0,31,12.233333333333333,1,19,3,1,10,3,2,12,3,2,0,3,5,Low income,Adult,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
38,Postgraduate,Alone,79941.0,984,3.2666666666666666,0,72,123,164,266,227,30,174,1,2,4,9,1,High income,Adult,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
18,Postgraduate,In relationship,7500.0,122,23.133333333333333,0,24,3,18,14,15,22,50,3,3,1,3,9,Low income,Young,Loyal customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
46,Postgraduate,In relationship,41728.0,55,16.6,1,92,13,6,15,3,5,13,1,2,0,2,10,Low to medium income,Mature,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
60,Postgraduate,In relationship,72550.0,1319,23.166666666666668,2,39,826,50,317,50,38,38,9,5,2,12,8,High income,Mature,Loyal customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
57,Postgraduate,Alone,65486.0,507,4.833333333333333,1,29,245,19,125,37,67,14,1,4,2,10,2,Medium to high income,Mature,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
50,Postgraduate,In relationship,79143.0,1693,26.133333333333333,0,2,650,37,780,27,167,32,1,6,9,13,3,High income,Mature,Loyal customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
37,Postgraduate,Alone,35790.0,72,21.333333333333332,1,54,12,6,20,30,1,3,2,2,0,3,7,Low to medium income,Adult,Loyal customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
37,Postgraduate,Alone,82582.0,1617,3.966666666666667,0,54,510,120,550,156,40,241,1,4,9,7,1,High income,Adult,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
36,Postgraduate,In relationship,66373.0,606,15.966666666666667,2,57,328,9,124,12,24,109,7,4,2,10,3,Medium to high income,Adult,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
59,Postgraduate,In relationship,82384.0,1957,22.8,0,55,984,51,432,180,120,190,1,3,10,13,1,High income,Mature,Loyal customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
48,Postgraduate,Alone,70287.0,1093,18.333333333333332,0,30,295,35,482,121,120,40,1,5,5,10,3,High income,Mature,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
26,Postgraduate,Alone,27938.0,29,5.3,1,31,13,0,8,2,1,5,1,1,0,4,3,Low income,Young,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
46,Postgraduate,In relationship,55954.0,518,7.166666666666667,1,63,447,0,28,0,0,43,3,8,2,6,7,Medium to high income,Mature,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer,Frequent consumer
32,Postgraduate,Alone,75777.0,1438,15.233333333333333,0,12,712,26,538,69,13,80,1,3,6,11,1,High income,Adult,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
39,Postgraduate,In relationship,66653.0,612,25.233333333333334,2,18,452,18,102,16,18,6,4,4,2,12,3,Medium to high income,Adult,Loyal customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
62,Postgraduate,Alone,61823.0,884,19.766666666666666,1,26,523,7,134,37,14,169,4,8,2,10,7,Medium to high income,Mature,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
63,Postgraduate,Alone,67680.0,606,16.0,1,8,546,0,48,0,6,6,1,7,3,8,5,Medium to high income,Mature,Experienced customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Frequent consumer
66,Postgraduate,In relationship,70666.0,1076,10.066666666666666,0,29,398,40,367,119,122,30,1,7,4,4,4,High income,Senior,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
43,Postgraduate,In relationship,25721.0,34,16.7,1,75,1,3,6,3,6,15,1,1,1,2,7,Low income,Adult,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
47,Postgraduate,In relationship,32474.0,11,4.866666666666666,2,0,10,0,1,0,0,0,1,1,0,2,7,Low income,Mature,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer,Low consumer
35,Postgraduate,Alone,88194.0,1274,6.633333333333334,1,19,688,14,309,201,24,38,1,11,10,10,5,High income,Adult,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
56,Postgraduate,In relationship,69096.0,653,12.4,1,4,247,49,159,7,82,109,1,5,2,10,4,High income,Mature,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
44,Postgraduate,In relationship,74854.0,1562,18.133333333333333,3,90,856,59,487,58,29,73,7,2,5,5,5,High income,Adult,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
60,Postgraduate,In relationship,66991.0,1253,25.1,0,1,496,36,460,189,60,12,3,4,8,6,3,Medium to high income,Mature,Loyal customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
55,Postgraduate,In relationship,65031.0,863,18.866666666666667,1,29,258,107,291,84,37,86,4,10,3,13,7,Medium to high income,Mature,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
39,Postgraduate,In relationship,60631.0,661,18.233333333333334,2,88,565,6,65,0,6,19,5,9,2,8,7,Medium to high income,Adult,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer
62,Postgraduate,In relationship,28332.0,65,5.233333333333333,0,58,14,10,13,4,15,9,1,2,1,4,2,Low income,Mature,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
37,Postgraduate,Alone,40246.0,13,21.8,1,68,2,1,6,2,1,1,1,1,0,2,6,Low to medium income,Adult,Loyal customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
42,Postgraduate,In relationship,75251.0,1890,25.6,0,34,721,111,925,97,18,18,1,7,6,5,5,High income,Adult,Loyal customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
38,Postgraduate,Alone,75825.0,2209,24.066666666666666,0,40,1032,105,779,137,105,51,0,5,8,9,4,High income,Adult,Loyal customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
38,Postgraduate,In relationship,26326.0,18,13.166666666666666,0,12,1,0,5,0,3,9,1,0,0,3,3,Low income,Adult,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer
49,Postgraduate,In relationship,56046.0,692,21.333333333333332,0,9,577,0,64,0,0,51,2,10,1,8,8,Medium to high income,Mature,Loyal customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer,Frequent consumer
29,Postgraduate,Alone,29760.0,165,25.533333333333335,1,87,64,4,68,7,5,17,4,3,1,4,8,Low income,Young,Loyal customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
45,Postgraduate,In relationship,26304.0,16,15.6,1,5,4,1,5,2,0,4,1,1,0,2,7,Low income,Adult,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
41,Postgraduate,In relationship,23559.0,79,15.266666666666667,1,87,25,5,19,7,0,23,3,3,0,3,7,Low income,Adult,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
51,Postgraduate,In relationship,38620.0,318,17.033333333333335,0,56,112,17,44,34,22,89,1,2,5,3,3,Low to medium income,Mature,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
27,Postgraduate,Alone,81361.0,778,7.366666666666666,0,18,163,23,424,27,65,76,1,3,10,13,1,High income,Young,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
54,Postgraduate,In relationship,29440.0,56,13.966666666666667,2,95,17,8,14,10,4,3,2,1,0,4,7,Low income,Mature,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
44,Postgraduate,In relationship,36138.0,151,14.833333333333334,2,48,130,0,16,0,0,5,5,3,1,4,7,Low to medium income,Adult,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer,Frequent consumer
57,Postgraduate,Alone,50388.0,372,4.3,1,3,292,6,37,0,3,34,4,6,1,6,7,Low to medium income,Mature,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer,Frequent consumer
41,Postgraduate,In relationship,79593.0,1366,4.833333333333333,0,70,350,60,568,110,133,145,1,5,6,7,2,High income,Adult,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
47,Postgraduate,In relationship,54178.0,194,8.533333333333333,1,79,135,9,39,4,0,7,1,2,2,5,2,Medium to high income,Mature,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer,Frequent consumer
42,Postgraduate,Alone,42394.0,32,6.5,1,69,15,2,10,0,1,4,1,1,0,3,7,Low to medium income,Adult,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer
44,Postgraduate,In relationship,23626.0,43,4.433333333333334,1,84,27,2,14,0,0,0,3,3,1,3,5,Low income,Adult,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Non consumer,Low consumer
31,Postgraduate,In relationship,30096.0,45,4.5,1,30,5,3,11,12,5,9,1,2,0,3,6,Low income,Adult,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
54,Postgraduate,Alone,47916.0,606,22.7,1,72,505,0,26,0,0,75,5,7,4,6,6,Low to medium income,Mature,Loyal customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer,Frequent consumer
42,Postgraduate,Alone,51813.0,63,18.033333333333335,2,37,51,2,7,0,1,2,2,2,0,3,7,Medium to high income,Adult,Experienced customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer
63,Postgraduate,In relationship,78497.0,978,10.233333333333333,0,44,207,26,447,75,0,223,1,5,7,12,2,High income,Mature,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer
31,Postgraduate,In relationship,50150.0,410,15.7,0,32,135,46,92,65,61,11,2,5,2,7,5,Low to medium income,Adult,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
54,Postgraduate,Alone,47823.0,72,14.6,1,0,53,1,5,2,1,10,2,2,0,3,8,Low to medium income,Mature,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
55,Postgraduate,Alone,34554.0,55,6.266666666666667,1,43,41,1,6,2,0,5,2,2,0,3,6,Low income,Mature,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
35,Postgraduate,In relationship,85693.0,1169,17.733333333333334,1,59,386,172,183,185,132,111,2,9,5,11,5,High income,Adult,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
69,Postgraduate,In relationship,65846.0,1120,16.833333333333332,0,68,562,81,276,80,40,81,1,6,3,6,4,Medium to high income,Senior,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
55,Postgraduate,In relationship,87195.0,1097,4.966666666666667,0,35,217,76,690,50,26,38,1,3,11,5,1,High income,Mature,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
35,Undergraduate,In relationship,24594.0,29,9.933333333333334,1,94,1,3,6,10,0,9,1,1,0,3,5,Low income,Adult,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
50,Postgraduate,In relationship,49096.0,187,12.5,2,15,144,1,32,2,1,7,4,4,1,4,7,Low to medium income,Mature,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
45,Postgraduate,In relationship,52413.0,910,20.3,2,56,295,106,271,75,98,65,4,6,4,12,6,Medium to high income,Adult,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
36,Postgraduate,Alone,38557.0,145,21.8,1,17,76,3,31,4,4,27,2,3,1,3,7,Low to medium income,Adult,Loyal customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
54,Postgraduate,In relationship,89058.0,850,22.2,0,18,454,194,106,31,22,43,1,5,4,4,2,High income,Mature,Loyal customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
35,Postgraduate,In relationship,77298.0,969,11.2,1,46,425,115,292,23,35,79,1,6,6,11,3,High income,Adult,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
23,Postgraduate,Alone,68126.0,1820,23.1,0,40,1332,17,311,23,51,86,1,7,4,5,9,Medium to high income,Young,Loyal customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
51,Postgraduate,In relationship,57288.0,608,3.3666666666666667,1,27,527,0,21,0,0,60,3,8,1,8,6,Medium to high income,Mature,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer,Frequent consumer
23,Postgraduate,Alone,86037.0,730,21.333333333333332,0,95,490,44,125,29,20,22,1,6,7,11,3,High income,Young,Loyal customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
34,Postgraduate,In relationship,43974.0,551,22.033333333333335,1,19,378,0,101,0,0,72,5,6,4,6,7,Low to medium income,Adult,Loyal customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer,Frequent consumer
52,Postgraduate,Alone,50785.0,114,12.966666666666667,2,27,64,1,21,0,1,27,2,2,1,3,6,Low to medium income,Mature,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer,Frequent consumer
44,Postgraduate,In relationship,90765.0,1724,8.433333333333334,0,25,547,99,812,151,82,33,0,4,6,5,1,High income,Adult,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
36,Postgraduate,In relationship,36550.0,577,19.733333333333334,1,74,47,90,94,123,103,120,5,9,1,5,9,Low to medium income,Adult,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
47,Postgraduate,In relationship,30753.0,81,15.0,2,85,12,5,25,0,9,30,2,1,1,3,5,Low income,Mature,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer
45,Postgraduate,In relationship,21918.0,33,10.8,1,37,1,6,7,11,5,3,2,2,0,3,6,Low income,Adult,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
61,Postgraduate,In relationship,56129.0,660,15.7,1,65,320,48,133,39,72,48,4,6,2,10,4,Medium to high income,Mature,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
47,Postgraduate,Alone,32557.0,80,7.4,1,13,34,3,29,0,4,10,3,2,1,3,5,Low income,Mature,New customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer,Frequent consumer
